snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-08-27,1.0,127061,美锦转债,114.98,2.3,117.28,2.93,1.649,27.856,11739.7,3.68,A,000723,美锦能源,3.9,0.52,1.35,,0.20545454545454545,,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.2727272727272727,1.0
2026-08-27,2.0,113052,兴业转债,115.377,28.96,144.34,-2.7,1.334,413.5,17415.61,0.37,AAA,601166,兴业银行,18.01,-1.1,0.42,,0.4409090909090909,,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.18181818181818182,1.0,0.36363636363636365
2026-08-27,3.0,113056,重银转债,128.016,7.3,135.32,-8.01,1.573,115.622,12299.05,0.83,AAA,601963,重庆银行,11.0,-1.79,0.59,,0.4836363636363637,,0.8181818181818182,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.9090909090909091,0.36363636363636365
2026-08-27,4.0,113062,常银转债,129.078,8.77,137.85,-7.89,2.055,59.994,17565.53,2.27,AAA,601128,常熟银行,6.23,-2.5,0.69,,0.48818181818181816,,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.36363636363636365
2026-08-27,5.0,123107,温氏转债,114.025,29.38,143.41,-9.01,0.586,77.063,9648.9,1.1,AAA,300498,温氏股份,14.18,2.01,2.64,,0.4890909090909091,,0.09090909090909091,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.36363636363636365
2026-08-27,6.0,127030,盛虹转债,119.895,16.2,136.1,-17.5,0.567,49.974,9496.12,1.59,AA+,000301,东方盛虹,13.63,3.81,2.53,,0.5377272727272727,,0.36363636363636365,0.45454545454545453,1.0,0.5454545454545454,0.45454545454545453,0.7727272727272727
2026-08-27,7.0,127045,牧原转债,120.201,27.63,147.83,-11.32,0.97,95.429,9479.31,0.83,AAA,002714,牧原股份,40.8,2.03,2.94,,0.5772727272727272,,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.36363636363636365
2026-08-27,8.0,127040,国泰转债,123.038,15.35,138.39,-14.25,0.86,39.863,5132.55,1.05,AA+,002091,江苏国泰,7.84,-0.13,0.79,,0.5840909090909092,,0.5454545454545454,0.36363636363636365,0.9090909090909091,0.9090909090909091,0.36363636363636365,0.7727272727272727
2026-08-27,9.0,113051,节能转债,124.39,21.47,145.86,-14.17,0.816,26.519,7067.68,2.14,AAA,601016,节能风电,3.41,-0.29,1.24,,0.6109090909090908,,0.6363636363636364,0.5454545454545454,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.36363636363636365
2026-08-27,10.0,123104,卫宁转债,127.372,31.11,158.48,-10.56,0.551,9.699,4866.7,3.94,AA,300253,卫宁健康,6.82,0.59,2.74,,0.7718181818181817,,0.7272727272727273,1.0,0.5454545454545454,1.0,0.09090909090909091,0.9090909090909091
2026-08-27,11.0,127056,中特转债,129.646,29.09,158.74,-11.82,1.499,49.996,9349.26,1.44,AAA,000708,中信特钢,13.95,-0.78,1.59,,0.8109090909090909,,1.0,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.36363636363636365
